AIRLINE,IATA_CODE,COUNTRY,ACTIVE
Belle Air,,Albania,N
Blom Geomatics,,Norway,N
Benin Littoral Airways,,Benin,N
Bombardier Business Jet Solutions,,United States,N
Bulgaria Air,FB,Bulgaria,Y
Brazilian Navy Aviation,,Brazil,N
Barents AirLink,8N,Sweden,Y
Belgian Navy,,Belgium,N
Bakoji Airlines Services,,Nigeria,N
Benders Air,,Sweden,N
Balmoral Central Contracts,,South Africa,N
BGB Air,,Kazakhstan,N
Butte Aviation,,United States,N
Bond Air Services,,United Kingdom,N
Business Airfreight,,United States,N
BAC Express Airlines,,United Kingdom,N
Boscombe Down DERA (Formation),,United Kingdom,N
Business Jet Sweden,,Sweden,N
British Airways Shuttle,,United Kingdom,N
British Sky Broadcasting,,United Kingdom,N
Bell Helicopter Textron,,Canada,N
Buzzaway Limited,,United Kingdom,N
Biz Jet Charter,,United States,N
Blue Chip Jet,,Sweden,N
BAE Systems,,United Kingdom,N
BAE Systems,,United Kingdom,N
Baseops International,,United States,N
Bureau Veritas,,France,N
British Airways,,United Kingdom,N
Boskovic Air Charters Limited,,Kenya,N
C Air Jet Airlines,,Syrian Arab Republic,N
C N Air,,Spain,N
C and M Aviation,,United States,N
C&M Airways,,United States,N
C.S.P.,,AIR-MAUR,N
CABI,,Ukraine,N
CAI,,Italy,N
CAL Cargo Air Lines,5C,Israel,Y
CAM Air Management,,United Kingdom,N
CATA L,,Argentina,N
CCF Manager Airline,,Germany,N
CEDTA (Compania Ecuatoriana De Transportes Aereos),,Ecuador,N
CHC Denmark,,Denmark,N
CHC Helicopters,,Australia,N
CHC Airways,AW,Netherlands,N
CHC Helikopter Service,,Norway,N
CI-Tours,,Ivory Coast,N
CKC Services,,United States,N
CM Stair,,Mauritania,N
CNET,,France,N
COAPA AIR,,Mexico,N
COMAV,,Namibia,N
CRI Helicopters Mexico,,Mexico,N
CSA Air,,United States,N
CSE Aviation,,United Kingdom,N
CTK Network Aviation,,Ghana,N
Cabair College of Air Training,,United Kingdom,N
Cabo Verde Express,,Cape Verde,N
Caernarfon Airworld,,United Kingdom,N
Cairo Air Transport Company,,Egypt,N
Cal Gulf Aviation,,Sao Tome and Principe,N
Cal-West Aviation,,United States,N
California Air Shuttle,,United States,N
Calima Aviacion,XG,Spain,Y
Calm Air,MO,Canada,N
Camai Air,R9,United States,N
Cambodia Airlines,,Cambodia,N
Cameroon Airlines,UY,Cameroon,N
Campania Helicopteros De Transporte,,Spain,N
CanJet,C6,Canada,N
Canada Jet Charters,,Canada,N
Canadian Airlines,CP,Canada,Y
Canadian Coast Guard,,Canada,N
Canadian Eagle Aviation,,Canada,N
Canadian Forces,,Canada,N
Canadian Global Air Ambulance,,Canada,N
Canadian Helicopters,,Canada,N
Canadian Interagency Forest Fire Centre,,Canada,N
Canadian National Telecommunications,,Canada,N
Canadian North,5T,Canada,Y
Canadian Regional Airlines,,Canada,N
Canadian Warplane Heritage Museum,,Canada,N
Canadian Western Airlines,W2,Canada,N
Canair,,China,N
Cancun Air,,Mexico,N
Cape Air,9K,United States,Y
Cape Air Transport,,Australia,N
Cape Central Airways,,United States,N
Cape Smythe Air,,United States,N
Capital Air Service,,United States,N
Capital Airlines,,Kenya,N
Capital Airlines Limited,,Nigeria,N
Capital Cargo International Airlines,PT,United States,N
Capital City Air Carriers,,United States,N
Capital Trading Aviation,,United Kingdom,N
Capitol Air Express,,United States,N
Capitol Wings Airline,,United States,N
Caravan Air,,Mauritania,N
Cardiff Wales Flying Club,,United Kingdom,N
Cardinal/Air Virginia,,United States,N
Cardolaar,,Namibia,N
Cards Air Services,,Philippines,N
Care Flight,,Australia,N
Carga Aerea Dominicana,,Dominican Republic,N
Carga Express Internacional,,Mexico,N
Cargo 360,GG,United States,N
Cargo Express,,Mauritania,N
Cargo Ivoire,,Ivory Coast,N
Cargo Link (Caribbean),,Barbados,N
Cargo Three,,Panama,N
Cargoitalia,2G,Italy,N
Cargojet Airways,W8,Canada,N
Cargolux,CV,Luxembourg,N
Cargoman,,Oman,N
Carib Aviation,,Antigua and Barbuda,N
Carib Express,,Barbados,N
Caribair,,Dominican Republic,N
Caribbean Air Cargo,,Barbados,N
Caribbean Air Transport,,Netherlands,N
Caribbean Airlines,BW,Trinidad and Tobago,Y
Caribbean Airways,,Barbados,N
Caribbean Express,,United States,N
Caribbean Star Airlines,8B,Antigua and Barbuda,N
Caribintair,,Haiti,N
Carill Aviation,,United Kingdom,N
Carpatair,V3,Romania,Y
Carranza,,Chile,N
Carroll Air Service,,United States,N
Casement Aviation,,United States,N
Casino Airline,,United States,N
Casper Air Service,,United States,N
Caspian Airlines,RV,Iran,Y
Castle Aviation,,United States,N
Cat Aviation,,Switzerland,N
Catalina Flying Boats,,United States,N
Catex,,France,N
Cathay Pacific,CX,Hong Kong SAR of China,Y
Caverton Helicopters,,Nigeria,N
Cayman Airways,KX,Cayman Islands,Y
Cebu Pacific,5J,Philippines,Y
Cecil Aviation,,United Kingdom,N
Cega Aviation,,United Kingdom,N
Celtic Airways,,United Kingdom,N
Celtic West,,United Kingdom,N
Centavia,7N,Serbia,N
Cente D'Essais En Vol,,France,N
Centennial Airlines,,United States,N
Centennial Flight Centre,,Canada,N
Center Vol,,Spain,N
Center-South,,Russia,N
Centrafrican Airlines,,Central African Republic,N
Central Air Express,,Democratic Republic of Congo,N
Central Airlines,,United States,N
Central Airways,,Sierra Leone,N
Central American Airlines,,Nicaragua,N
Central Aviation,,United States,N
Central Connect Airlines,,Czech Republic,Y
Central De Discos De Reynosa,,Mexico,N
Central European Airlines,,Czech Republic,N
Central Flying Service,,United States,N
Central Mongolia Airways,,Mongolia,N
Central Mountain Air,,Canada,N
Central Queensland Aviation College,,Australia,N
Central Skyport,,United States,N
Centralwings,C0,Poland,Y
Centre Airlines,,United States,N
Centre of Applied Geodynamica,,Russia,N
Centre-Avia,J7,Russia,N
Centro De Helicopteros Corporativos,,Mexico,N
Centro de Formacion Aeronautica de Canarias,,Spain,N
Centurion Air Cargo,WE,United States,N
Century Aviation,,Mexico,N
Century Aviation International,,Canada,N
Certified Air Dispatch,,United States,N
Cetraca Aviation Service,,Democratic Republic of the Congo,N
Chabahar Airlines,,Iran,N
Chalair Aviation,,France,N
Chalk's Ocean Airways,OP,United States,N
Challenge Air Transport,,Germany,N
Challenge Aviation,,Australia,N
Challenge International Airlines,,United States,N
AC Challenge Aero,,Ukraine,N
Champagne Airlines,,France,N
Champion Air,MG,United States,N
Chanchangi Airlines,,Nigeria,N
Changan Airlines,2Z,China,N
Channel Island Aviation,,United States,N
Chantilly Air,,United States,N
Chaparral Airlines,,United States,N
Chari Aviation Services,S8,Chad,N
Charlan Air Charter,,South Africa,N
Charlie Hammonds Flying Service,,United States,N
Charlotte Air National Guard,,United States,N
Charter Air,,Austria,Y
Chartright Air,,Canada,N
Chautauqua Airlines,RP,United States,Y
Cheboksary Airenterprise JSC,,Russia,N
Chemech Aviation,,Pakistan,N
Cherline,,Russia,N
Chernomor-Avia,,Russia,N
Cherokee Express,,United States,N
Cherry Air,,United States,N
Chesapeake Air Service,,United States,N
Chevron U.S.A,,United States,N
Cheyenne Airways,,United States,N
Chicago Air,,United States,N
Chicago Express,C8,United States,N
Chief Rat Flight Services,,South Africa,N
Chilchota Taxi Aereo,,Mexico,N
Chilcotin Caribou Aviation,,Canada,N
Chilliwack Aviation,,Canada,N
Chim-Nir Aviation,,Israel,N
China Airlines,CI,Taiwan,Y
China Cargo Airlines,CK,China,N
China Eastern Airlines,MU,China,Y
China Express Airlines,,China,N
China Flying Dragon Aviation,,China,N
China General Aviation Corporation,,China,N
China National Aviation Corporation,,China,N
China Northern Airlines,CJ,China,N
China Northwest Airlines,WH,China,N
China Ocean Helicopter Corporation,,China,N
China Postal Airlines,8Y,China,N
China Southern Airlines,CZ,China,Y
China Southwest Airlines,,China,N
China United Airlines,HR,China,Y
China Xinhua Airlines,XO,China,N
Yunnan Airlines,3Q,China,Y
Chinguetti Airlines,,Mauritania,N
Chipola Aviation,,United States,N
Chippewa Air Commuter,,United States,N
Chitaavia,X7,Russia,N
Christman Air System,,United States,N
Christophorus Flugrettungsverein,,Austria,N
Chrome Air Services,,United States,N
Church Aircraft,,United States,N
Cielos Airlines,A2,Peru,N
Cimber Air,QI,Denmark,Y
Cirrus,,Chile,N
Cirrus Air,,United States,N
Cirrus Airlines,C9,Germany,Y
Cirrus Middle East,,Lebanon,N
Citationshares,,United States,N
Citibank,,United States,N
Citic General Aviation,,China,N
City Airline,CF,Sweden,Y
City Connexion Airlines,G3,Burundi,Y
City of Bangor,,United States,N
CityJet,WX,Ireland,Y
Cityair (Chester) Limited,,United Kingdom,N
Cityfly,,Italy,N
BA CityFlyer,CJ,United Kingdom,Y
Cityline Hungary,,Hungary,N
Citylink Airlines,,United States,N
Civair Airways,,South Africa,N
Civil Air Patrol South Carolina Wing,,United States,N
Civil Air Transport,CT,Taiwan,N
Civil Aviation Authority,,Slovakia,N
Civil Aviation Authority of New Zealand,,New Zealand,N
Civil Aviation Inspectorate of the Czech Republic,,Czech Republic,N
Claessens International Limited,,United Kingdom,N
Clark Aviation,,United States,N
Clasair,,United Kingdom,N
Clay Lacy Aviation,,United States,N
Click Airways,,Kyrgyzstan,Y
Cloud 9 Air Charters,,South Africa,N
Clowes Estates Limited,,United Kingdom,N
Club 328,,United Kingdom,N
Club Air,6P,Italy,N
Coast Air,BX,Norway,N
Coastal Air,DQ,United States,Y
Coastal Air Transport,,United States,N
Coastal Airways,,United States,N
Coastal Travels,,Tanzania,N
Cohlmia Aviation,,United States,N
Colaereos,,Ecuador,N
Colemill Enterprises,,United States,N
Colgan Air,9L,United States,Y
Colibri Aviation,,Canada,N
Colt International,,United States,N
Columbia Airlines,,Canada,N
Columbia Helicopters,,United States,N
Columbus Air Transport,,United States,N
Colvin Aviation,,United States,N
Comair,OH,United States,Y
Comair,MN,South Africa,Y
Comed Group,,United Kingdom,N
Comeravia,,Venezuela,N
Comercial Aerea,,Mexico,N
Comet Airlines,,Nigeria,N
Comfort Air,,Germany,N
Comlux Aviation,,Switzerland,N
Commair Aviation,,United Kingdom,N
Commandement Du Transport Aerien Militaire Francais,,France,N
Commander Air Charter,,Canada,N
Commander Mexicana,,Mexico,N
Commercial Aviation,,Canada,N
Commodore Aviation,,Australia,N
Commonwealth Jet Service,,United States,N
CommutAir,C5,United States,Y
Comores Airlines,KR,Comoros,Y
Compagnia Generale Ripreseaeree,,Italy,N
Compagnie Aerienne du Mali,,Mali,N
Compagnie Mauritanienne Des Transports,,Mauritania,N
Compagnie de Bauxites de Guinee,,Guinea,N
Compania Aerea de Valencia,,Spain,N
Compania Aerotecnicas Fotograficas,,Spain,N
Compania Boliviana de Transporte Aereo Privado Aerosur,,ASUR,N
Compania De Actividades Y Servicios De Aviacion,,Spain,N
Compania Ejecutiva,,Mexico,N
Compania Helicopteros Del Sureste,,Spain,N
Compania Mexicana De Aeroplanos,,Mexico,N
Compania Mexicargo,GJ,Mexico,N
Compania Transportes Aereos Del Sur,,Spain,N
Compania de Servicios Aereos Tavisa,,Spain,N
Company Flight,,Denmark,N
Compass Airlines,CP,United States,Y
Compass International Airways,,United Kingdom,N
Compuflight Operations Service,,United States,N
Compuserve Incorporated,,United States,N
Conair Aviation,,Canada,N
Concordavia,,Ukraine,N
Condor Aero Services,,United States,N
Condor,,Germany,N
Condor Flugdienst,DE,Germany,Y
Confort Air,,Canada,N
Congo Air,,Bahamas,N
Congressional Air,,United States,N
Conifair Aviation,,Canada,N
Connectair Charters,,Canada,N
Conquest Airlines,,United States,N
Conroe Aviation Services,,United States,N
Consorcio Aviaxsa,6A,Mexico,Y
Consorcio Helitec,,Venezuela,N
Constanta Airline,,Ukraine,N
Contact Air,C3,Germany,Y
Contel ASC,,United States,N
Continental Airlines,CO,United States,Y
Continental Airways,PC,Russia,N
Continental Express,CO,United States,Y
Continental Micronesia,CS,United States,Y
Continental Oil,,United States,N
Conviasa,V0,Venezuela,Y
Cook Inlet Aviation,,United States,N
Cooper Aerial Surveys,,United Kingdom,N
Copa Airlines,CM,Panama,Y
Copenhagen Airtaxi,,Denmark,N
Copper State Air Service,,United States,N
Copterline,,Finland,Y
Coptrade Air Transport,,Sudan,N
Corendon Airlines,,Turkey,Y
Coronado Aerolineas,,Colombia,N
Corpac Canada,,Canada,N
Corporacion Aereo Cencor,,Mexico,N
Corporacion Aeroangeles,,Mexico,N
Corporacion Paraguaya De Aeronautica,,Paraguay,N
Corporate Air,,United States,N
Corporate Air,,United States,N
Corporate Aircraft Company,,United States,N
Corporate Airlink,,Canada,N
Corporate Aviation Services,,United States,N
Corporate Flight International,,United States,N
Corporate Flight Management,,United States,N
Corporate Jets,,United States,N
Corsairfly,SS,France,Y
Corse-Mediterranee,XK,France,Y
Cosmic Air,F5,Nepal,N
Cougar Helicopters,,Canada,N
Coulson Flying Service,,United Kingdom,N
Country Connection Airlines,,Australia,N
Country International Airlines,,Kyrgyzstan,N
Courier Services,,United States,N
Court Helicopters,,South Africa,N
Coval Air,,Canada,N
Cowi,,Netherlands,N
Coyne Aviation,,United Kingdom,N
Cranfield University,,United Kingdom,N
Cree Airways,,Canada,N
Crelam,,Mexico,N
Crest Aviation,,United Kingdom,Y
Crimea Universal Avia,,Ukraine,N
Croatia Airlines,OU,Croatia,Y
Croatian Air Force,,Croatia,N
Cross Aviation,,United Kingdom,N
Crossair Europe,QE,Switzerland,N
Crow Executive Air,,United States,N
Crown Air Systems,,United States,N
Crown Airways,,United States,Y
Crownair,,Canada,N
Cruiser Linhas Aereas,,Brazil,N
Cryderman Air Service,,United States,N
Crystal Shamrock,,United States,N
Cubana de Aviación,CU,Cuba,Y
Cumberland Airways (Nicholson Air Service),,United States,N
Custom Air Transport,,United States,N
Cygnus Air,,Spain,N
Cyprair Tours,,Cyprus,N
Cypress Airlines,,Canada,N
Cyprus Airways,CY,Cyprus,Y
Cyprus Turkish Airlines,YK,Turkey,Y
Czech Air Force,,Czech Republic,N
Czech Air Handling,,Czech Republic,N
Czech Airlines,OK,Czech Republic,Y
Czech Government Flying Service,,Czech Republic,N
D & D Aviation,,United States,N
D&K Aviation,,United States,N
DAP Helicopteros,,Chile,N
DFS UK Limited,,United Kingdom,N
DAS Air Cargo,WD,Uganda,N
DAS Airlines,,Democratic Republic of the Congo,N
DAT Danish Air Transport,DX,Denmark,Y
DAT Enterprise Limited,,United Kingdom,N
DERA Boscombe Down,,United Kingdom,N
DESNA,,Ukraine,N
DETA Air,,Kazakhstan,N
DGO Jet,,Mexico,N
DHL Aero Expreso,,Panama,N
DHL Air,,United Kingdom,N
DHL Aviation,,South Africa,N
DHL International,ES,Bahrain,N
DHL de Guatemala,L3,Guatemala,N
DSWA,,United States,N
Daallo Airlines,D3,Djibouti,Y
Dagestan Airlines,N2,Russia,N
Dahla Airlines,,Democratic Republic of Congo,N
Daimler Chrysler Aviation,,Germany,N
Daimler-Chrysler,,United States,N
Daka,,Kazakhstan,N
Dala Air Services,,Nigeria,N
Dalavia,H8,Russia,Y
Dallas Express Airlines,,United States,N
Damascene Airways,,Syrian Arab Republic,N
Danbury Airways,,United States,N
Dancopter,,Denmark,N
Danish Air Force,,Denmark,N
Danish Army,,Denmark,N
Danish Navy,,Denmark,N
Danu Oro Transportas,,Lithuania,N
Darta,,France,N
Darwin Airline,0D,Switzerland,Y
Dasab Airlines,,Uganda,N
Dash Air Charter,,United States,N
Dash Aviation,,United Kingdom,N
Dasnair,,Switzerland,N
Dassault Aviation,,France,N
Dassault Falcon Jet Corporation,,United States,N
Dassault Falcon Service,,France,N
Data International,,Sudan,N
Date Transformation Corp,,United States,N
Dauair,D5,Germany,N
David Crawshaw Consultants Limited,,United Kingdom,N
Dawn Air,,United States,N
DayJet,,United States,N
Daya Aviation,,Sri Lanka,N
De Havilland,,Canada,N
Deadalos Flugtbetriebs,,Austria,N
Decatur Aviation,,United States,N
Deccan Aviation,,India,N
Deccan Aviation (Lanka),,Sri Lanka,N
Deer Jet,,China,N
Deere and Company,,United States,N
Delaware Skyways,,United States,N
Delta Aerotaxi,,Italy,Y
Delta Air Charter,,Canada,N
Delta Air Elite,,United States,N
Delta Air Lines,DL,United States,Y
Delta Engineering Aviation,,United Kingdom,N
Delta Express International,,Ukraine,N
Delta State University,,United States,N
Denim Air,,Netherlands,Y
Denver Express,,United States,N
Denver Jet,,United States,N
Departmento De Agricultura De La Generalitat De Cataluna,,Spain,N
Deraya Air Taxi,,Indonesia,N
Des R Cargo Express,,Mauritania,N
Desarrollo Milaz,,Mexico,N
Destiny Air Services,,Sierra Leone,N
Deutsche Bahn,2A,Germany,Y
Deutsche Rettungsflugwacht,1I,Germany,N
Deutsches Zentrum fur Luft-und Raumfahrt EV,,Germany,N
Di Air,,Serbia,N
Diamond Aviation,,United States,N
Didier Rousset Buy,,Chile,N
Digital Equipment Corporation,,United States,N
Dinar,D7,Argentina,N
Diplomatic Freight Services,,United Kingdom,N
Direccion General de Aviacion Civil y Telecomunicasciones,,Spain,N
Direct Air,,United States,N
Direct Air trading as Midway Connection,,United States,N
Direct Flight,,United Kingdom,N
Sky Express,,Poland,N
Dirgantara Air Service,AW,Indonesia,N
Discover Air,,United States,N
Discovery Airways,DH,United States,N
Dispatch Services,,United States,N
Dix Aviation,,Germany,N
Dixie Airways,,United States,N
Djibouti Airlines,D8,Djibouti,Y
Dniproavia,,Ukraine,Y
Flying Dolphin Airlines,,United Arab Emirates,N
Dolphin Express Airlines,,United States,N
Dome Petroleum,,Canada,N
Dominguez Toledo (Grupo Mayoral),,Spain,N
Dominicana de Aviaci,DO,Dominican Republic,Y
Domodedovo Airlines,E3,Russia,Y
Don Avia,,Kazakhstan,N
Donair Flying Club,,United Kingdom,N
DonbassAero,5D,Ukraine,Y
Dorado Air,,Dominican Republic,N
Dornier,,Germany,N
Dornier Aviation Nigeria,,Nigeria,N
Dos Mundos,,Dominican Republic,N
Dragonair,KA,DRAGON,Y
Dreamcatcher Airways,,United Kingdom,N
Druk Air,KB,Bhutan,Y
Drummond Island Air,,United States,N
Dubai Airwing,,United Arab Emirates,N
Dubrovnik Air,,Croatia,Y
Ducair,,Luxembourg,N
Duchess of Britany (Jersey) Limited,,United Kingdom,N
UK Royal/HRH Duke of York,,United Kingdom,N
Dun'Air,,Mauritania,N
Duncan Aviation,,United States,N
Dunyaya Bakis Hava Tasimaciligi,,Turkey,N
Duo Airways,,United Kingdom,N
Durango Jet,,Mexico,N
Dutch Antilles Express,,Netherlands Antilles,Y
Dutch Caribbean Express,,Netherlands Antilles,N
Dutchbird,,Netherlands,N
Dwyer Aircraft Services,,United States,N
Dynair Services,,United States,N
Dynamair Aviation,,Canada,N
Dynamic Air,,Netherlands,N
dba,DI,Germany,Y
E H Darby Aviation,,United States,N
Electronic Data Systems,1C,Switzerland,N
Electronic Data Systems,,,N
EAA Escola De Aviacao Aerocondor,,Portugal,N
Executive Airlines Services,,Nigeria,N
EFAOS- Agencia De Viagens e Turismo,,Angola,N
EFD Eisele Flugdienst,,Germany,N
EFS-Flugservice,,Germany,N
EIS Aircraft,,Germany,N
EPAG Groupe Air France,,France,N
ESI Eliservizi Italiani,,Italy,N
EU Airways,,Ireland,N
EUjet,VE,Ireland,N
EVA Air,BR,Taiwan,Y
Eagle Aero,,United States,N
Eagle Air,,Sierra Leone,N
Eagle Air,H7,Uganda,Y
Eagle Air Company,,Thailand,N
Eagle Air Iceland,,Iceland,N
Eagle Aviation,,Uganda,N
Eagle Aviation,,United Kingdom,N
Eagle Aviation France,,France,N
Eagle International,,Senegal,N
Eagle Jet Charter,,United States,N
Eaglemed (Ballard Aviation),,United States,N
Earth Airlines Services,,Nigeria,N
East African,QU,Uganda,Y
East African Safari Air,S9,Kenya,N
East African Safari Air Express,,Kenya,N
East Asia Airlines,,Macao,N
East Coast Airways,,South Africa,N
East Coast Jets,,United States,N
East Hampton Aire,,United States,N
East Kansas City Aviation,,United States,N
East Midlands Helicopters,,United Kingdom,N
East Star Airlines,,China,N
East-West Airlines,,Australia,N
Eastern Air,,Zambia,N
Eastern Air Executive,,United Kingdom,N
Eastern Airways,T3,United Kingdom,Y
Eastern Australia Airlines,,Australia,N
Eastern Carolina Aviation,,United States,N
Eastern Executive Air Charter,,United Kingdom,N
Eastern Express,,Kazakhstan,N
Eastern Metro Express,,United States,N
Eastern Pacific Aviation,,Canada,N
Eastern Sky Jets,,United Arab Emirates,N
Eastland Air,DK,Australia,Y
Eastwind Airlines,W9,United States,N
Easy Link Aviation Services,,Nigeria,N
Eckles Aircraft,,United States,N
Eclipse Aviation,,United States,N
Eco Air,,Nigeria,N
Ecoair,,Algeria,N
Ecomex Air Cargo,,Angola,N
Ecotour,,Mexico,N
Ecoturistica de Xcalak,,Mexico,N
Ecuatoguineana De Aviacion (EGA),,Equatorial Guinea,N
Ecuatorial Cargo,,Equatorial Guinea,N
Ecuavia,,Ecuador,Y
Edelweiss Air,WK,Switzerland,Y
Edgartown Air,,United States,N
Edinburgh Air Charter,,United Kingdom,N
Edwards Jet Center of Montana,,United States,N
Efata Papua Airlines,,Indonesia,N
Egyptair,MS,Egypt,Y
Egyptair Cargo,,Egypt,N
Egyptian Air Force,,Egypt,N
Egyptian Aviation,,Egypt,N
Egyptian Aviation Company,,Egypt,N
Ei Air Exports,,Ireland,N
Eirjet,,Ireland,N
El Al Israel Airlines,LY,Israel,Y
El Caminante Taxi Aereo,,Mexico,N
El Quilada International Aviation,,Sudan,N
El Sal Air,,El Salvador,N
El Sol De America,,Venezuela,N
El-Buraq Air Transport,UZ,Libya,Y
Elan Express,,United States,N
Elbe Air Transport,,Germany,N
Elbrus-Avia Air Enterprise,,Russia,N
Eldinder Aviation,,Sudan,N
Elicar,,Italy,N
Elidolomiti,,Italy,N
Elieuro,,Italy,N
Elifriulia,,Italy,N
Elilario Italia,,Italy,N
Elilombarda,,Italy,N
Elimediterranea,,Italy,N
Elios,,Italy,N
Elipiu',,Italy,N
Elisra Airlines,,Sudan,N
Elite Air,,Togo,N
Elite Jets,,United Arab Emirates,N
Elitellina,,Italy,N
Elliott Aviation,,United States,N
Elmagal Aviation Services,,Sudan,N
Elrom Aviation and Investments,,Israel,N
Embassy Airlines,,Nigeria,N
Embassy Freight Company,,United States,N
Empresa Brasileira De Aeronautica,,Brazil,N
Embry-Riddle Aeronautical University,,United States,N
Emerald Airways,,United Kingdom,N
Emery Worldwide Airlines,,United States,N
Emetebe,,Ecuador,N
Emirates,EK,United Arab Emirates,Y
Emoyeni Air Charter,,South Africa,N
Empire Air Service,,United States,N
Empire Airlines,EM,United States,N
Empire Aviation Services,,Nigeria,N
Empire Test Pilots' School,,United Kingdom,N
Empresa (Aero Uruguay),,UNIFORM OSCAR,N
Empresa Aero-Servicios Parrague,,Chile,N
Empresa Aerocaribbean,,Cuba,N
Empresa Aviacion Interamericana,,Uruguay,N
Empresa Ecuatoriana De Aviacion,EU,Ecuador,Y
Empresa Nacional De Servicios Aereos,,Cuba,N
Empresa Venezolana,,Venezuela,N
Empresa de Aviacion Aerogaviota,,Cuba,N
Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero,,Brazil,N
Endecots,,Ecuador,N
Enimex,,Estonia,N
Enkor JSC,G8,Russia]],N
Enrique Gleisner Vivanco,,Chile,N
Ensenada Vuelos Especiales,,Mexico,N
Entergy Services,,United States,N
Enterprise World Airways,,Democratic Republic of the Congo,N
Eos Airlines,E0,United States,N
Equaflight Service,,Republic of the Congo,N
Equatair Air Services (Zambia),,Zambia,N
Equatorial Airlines,,Equatorial Guinea,N
Era Helicopters,,United States,N
Eram Air,,Iran,N
Erfoto,,Portugal,N
Erie Airways,,United States,N
Eritrean Airlines,B8,Eritrea,Y
Escuela De Pilotos Are Aviacion,,Spain,N
Espace Aviation Services,,Democratic Republic of the Congo,N
Esso Resources Canada,,Canada,N
Estafeta Carga Aerea,E7,Mexico,N
Estonian Air,OV,Estonia,Y
Estrellas Del Aire,,Mexico,N
Ethiopian Airlines,ET,Ethiopia,Y
Eti 2000,,Italy,N
Etihad Airways,EY,United Arab Emirates,Y
Etram Air Wing,,Angola,N
Euraviation,,Italy,N
Euro Continental AIE,,Spain,N
Euro Exec Express,RZ,Sweden,Y
Euro Sun,,Turkey,N
Euro-Asia Air,,Kazakhstan,N
Euro-Asia Air International,,Kazakhstan,N
EuroAtlantic Airways,,Portugal,N
EuroJet Aviation,,United Kingdom,N
Euroair,,Greece,N
Euroamerican Air,,Uruguay,N
Euroceltic Airways,,United Kingdom,N
Eurocontrol,,Belgium,N
Eurocopter,,France,N
Eurocypria Airlines,UI,Cyprus,Y
Eurofly,,Italy,N
Eurofly Service,GJ,Italy,Y
Euroguineana de Aviacion,,Equatorial Guinea,N
Eurojet Italia,,Italy,N
Eurojet Limited,,Malta,N
Eurojet Romania,,Romania,N
Eurojet Servis,,Czech Republic,N
Eurolot,K2,Poland,Y
Euromanx Airways,3W,Austria,N
Europe Air Lines,,France,N
Europe Airpost,,France,N
European 2000 Airlines,,Malta,N
European Aeronautical Group UK,,United Kingdom,N
European Air Express,EA,Germany,Y
European Air Transport,QY,Belgium,N
European Aviation Air Charter,E7,United Kingdom,N
European Business Jets,,United Kingdom,N
European Coastal Airlines,,Croatia,N
European Executive,,United Kingdom,N
European Executive Express,,Sweden,N
Eurosense,,Bulgaria,N
Euroskylink,,United Kingdom,N
Eurowings,EW,Germany,Y
Evergreen International Airlines,EZ,United States,Y
Everts Air Alaska/Everts Air Cargo,,United States,N
Examiner Training Agency,,United Kingdom,N
Excel Airways,JN,United Kingdom,Y
Excel Charter,,United Kingdom,Y
Excellent Air,,Germany,N
Execair Aviation,MB,Canada,N
Execujet Charter,,Switzerland,N
Execujet Middle East,,United Arab Emirates,N
Execujet Scandinavia,,Denmark,N
Executive Aerospace,,South Africa,N
Executive Air,,Zimbabwe,N
Executive Air Charter,,United States,N
Executive Air Fleet,,United States,N
Executive Aircraft Charter and Charter Services,,Ireland,N
Executive Aircraft Services,,United Kingdom,N
Executive Airlines,OW,United States,N
Executive Airlines,,Spain,N
Executive Aviation Services,,United Kingdom,N
Executive Flight,,United States,N
Executive Flight Operations Ontario Government,,Canada,N
Executive Jet Charter,,United Kingdom,N
Executive Jet Management,,United States,N
Executive Turbine Aviation,,South Africa,N
Eximflight,,Mexico,N
Exin,,Poland,N
Expertos En Carga,,Mexico,N
Expo Aviation,8D,Sri Lanka,N
Express Air,,United States,N
Express International Cargo,,S,N
Express Line Aircompany,,United States,N
Express Net Airlines,,United States,N
Express One International,EO,United States,Y
Express Tours,,Canada,N
ExpressJet,XE,United States,Y
Exxavia Limited,,Ireland,N
easyJet,U2,United Kingdom,Y
NetJets,,United States,N
F.S. Air Service,,United States,N
FAI Airservice,,Germany,N
FINFO Flight Inspection Aircraft,,United States,N
FLM Aviation Mohrdieck,,Germany,N
FLTPLAN,,United States,N
FLowair Aviation,,France,N
FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,,Germany,N
FR Aviation,,United Kingdom,N
FSB Flugservice & Development,,Germany,N
FSH Luftfahrtunternehmen,,Germany,N
Fab Air,,Kyrgyzstan,N
Facts Air,,Mexico,N
Fair Aviation,,South Africa,N
Fair Wind Air Charter,,United Arab Emirates,N
Fairlines,,Netherlands,N
Fairoaks Flight Centre,,United Kingdom,N
Fairways Corporation,,United States,N
Falcon Air,,Sweden,N
Falcon Air,,Slovenia,N
Falcon Air Express,,United States,N
Falcon Airline,,Nigeria,N
Falcon Aviation,IH,Sweden,N
Falcon Aviation Services,,United Arab Emirates,N
Falcon Jet Centre,,United Kingdom,N
Falwell Aviation,,United States,N
Far Eastern Air Transport,EF,Taiwan,Y
Farmingdale State University,,United States,N
